,combination,number_of_people,price_per_bag,total_price
0,111010001010010001000110000,60,10.585133351,679.73
1,111001101111110000101010010,60,13.036220653,854.12
2,011101111011000111110101000,60,14.173809978,921.05
3,101100100100110100011111100,60,13.644395351,910.37
4,111110111010110100111100111,60,14.04270773,925.01
5,110000100101000101111101110,60,12.357281746,832.09
6,111000101010101000001111111,60,12.694721735,848.67
7,011000110001100000011100001,60,11.012863636,711.06
8,111001100000010000010000110,60,11.629024436,744.24
9,011100100011101111011100001,60,13.360437438,881.76
10,000101100011110100011100100,60,13.31609232,856.7
11,001010000011011101000000001,60,10.625084225,674.93
12,101111011101000101011000101,60,13.068156959,845.77
13,001101100001001100011010011,60,12.874604766,839.18
14,000010001100100101101001010,60,11.137186297,728.02
15,000011001000011000100111000,60,11.924232282,759.36
16,111001110101010110001110111,60,13.16885819,890.7
17,010001010100100010100101011,60,12.658059945,824.91
18,011011001111010100010111011,60,14.003586815,929.46
19,011111100110100100110011010,60,14.704326723,966.82
20,101010000011011010001100011,60,11.235482373,729.91
21,101101100001011101101001111,60,14.22820514,931.83
22,001111001110100100100101111,60,14.001893071,911.42
23,010100001101110010101111000,60,13.266728353,872.69
24,110000000000110100110101000,60,11.735804739,753.01
25,111000011110001101110100101,60,12.311368561,805.5
26,100110010111101001111010010,60,13.311411765,871.87
27,110101010001100101101110110,60,13.279866947,868.66
28,001000000011110011101100011,60,11.326372079,739.24
29,000001101101111111001000000,60,12.460749478,818.08
30,110110011011011000011000110,60,13.013954387,833.15
31,100111011101110001110011101,60,14.911238033,978.96
32,101100111110001101010101011,60,13.810420031,915.71
33,111111111001111000001001101,60,14.834331913,960.14
34,111001010010101101111110110,60,13.721895467,903.2
35,010010110111011101011110100,60,13.047442811,876.93
36,010101010101110110001111011,60,14.860120519,989.23
37,001100100110100101010100001,60,12.246641297,800.48
38,111110100001111101101000010,60,13.111297311,856.25
39,111100111111001000101010110,60,12.991286013,852.86
40,100111001001101010011101011,60,14.248622292,931.04
41,001010110000111000100011011,60,12.234246923,803.22
42,101011010111111100111100111,60,14.460935415,951.99
43,100010101001110000101110100,60,10.955608099,719.67
44,100001110000111000101010011,60,12.353818893,801.94
45,100001100000110010110110000,60,11.918712807,775.98
46,101111110110101000011110111,60,14.817497623,983.15
47,011111010101101011110101100,60,15.345269689,1005.28
48,000100010011110100001100110,60,11.993661765,769.28
49,101000110001010100101001100,60,11.103774436,715.13
50,101100001101111001010001111,60,14.148085881,932.75
51,000100011010100111010001101,60,12.681956442,823.75
52,011101110111101000010011010,60,15.142478684,991.55
53,010110101011101110101110001,60,13.06303499,865.55
54,101110011001011110110010100,60,12.785484931,831.89
55,011111111101010111101000010,60,13.864743685,910.77
56,001111001001100011000001010,60,12.713768311,816.58
57,010000100101111101011110101,60,13.111045083,890.24
58,101100100011000111110001100,60,12.500085982,816.25
59,011001011101110011101101001,60,13.811558376,906.23
60,110100000101111001011111101,60,14.704540998,982.05
61,111110001001011000011011101,60,13.659966833,892.14
62,101101101001111101101011011,60,14.863591833,983.83
63,110010010010010101001110100,60,11.108759104,725.41
64,010100100100011100001010111,60,12.682568776,843.56
