,item_name,item_price,item_count,item_index
0,Deer Park Water,4.49,40,0
1,Gatorade,15.89,35,1
2,Hershey's Kisses,11.9,330,2
3,Lindt Truffles,10.79,51,3
4,Fruit Snacks,12.69,160,4
5,Nutella Go Packs,12.0,12,5
6,Frito Lay Variety,12.0,54,6
7,Pringles,13.0,60,7
8,Life Savers,7.0,376,8
9,Trail Mix,13.5,28,9
10,Oreos,9.69,30,10
11,Double Mint Gum,7.0,40,11
12,Fruit by the foot,13.0,48,12
13,Starburst,20.0,34,13
14,Skittles,20.0,34,14
15,Nutrigrain bars,8.79,48,15
16,Rice Krispeys,11.0,54,16
17,Utz Variety,10.0,48,17
18,Utz Salted,12.0,60,18
19,Spindrift,14.0,24,19
20,Caprisun,7.0,40,20
21,Cheezitz,11.0,45,21
22,York Peppermint Patty,13.0,175,22
23,Cliff Bar,19.89,24,23
24,Goldfish,10.0,45,24
25,Nature Valley Peanut,12.79,48,25
26,Popcorn,9.69,44,26
